Am,Am7+,3
Am7+,Am7,4
Am7,Am6,3
Am6,Am7,1
Am7,Am7+,1
Am7+,Am,1
Am,E7/9-,1
E7/9-,Am,1
Am6,C,1
C,Fm5-/7,1
Fm5-/7,F,1
F,Em7,3
Em7,Dm7,4
Dm7,Em7,3
Em7,F,2
F,C,32
C,E7,11
E7,Am,18
E7,Am7,7
Am7,E7,2
E7,C,4
C,F#m5-/7,2
F#m5-/7,F,1
F,G6,1
G6,C,1
C,Em7,2
Em7,Am7,3
Dm7,G7,28
G7,Am,8
C,Fm#5-/7,1
Fm#5-/7,F,1
E7,Dm7,1
F,G#7,1
G#7,G7,3
G7,Cmaj7,6
Cmaj7,Am,6
Am6,E7/9-,1
E7/9-,C,1
C7,Am7,2
Am7,Dm7,11
G7,C,46
C,F7,6
F7,G7,4
G7,C7,12
C7,E7,2
E7,F7,2
F7,Fm,1
Fm,Fm7,2
Fm7,C7,1
C,Am7,7
Am7,D7,10
D7,G7,16
G7,E7,3
Am7,F7,2
F7,D7,2
D7,A7,3
A7,D7,15
D7,Am7,5
G7,G#,2
G#,G7,2
C,F,41
F,Fm7,3
Fm7,C,5
C,G7,23
G7,C6,4
C6,C7,2
F7,E7,4
E7,Fm,1
Fm7,D7,1
A7,G#,1
G#,F,1
F,C6,1
Am7,G,2
G,G7,7
C,Cdim7,1
Cdim7,G,1
G,G/F#,1
G/F#,Em7,1
Em7,A7,5
D7,G,9
G,D,6
D,G,10
G,C7,3
C7,Cdim7,1
G,Em7,2
G,Em,4
Em,Am,3
Am,G,7
G,Cdim7,1
Cdim7,G/F#,1
D7,D,2
C7,Em,1
Bm5-/7,E7/13-,1
E7/13-,Am7,1
Am7,E7/13-,1
G,Gmaj7,2
Gmaj7,Em,1
Em,Am7,1
Am7,Am5-/7,1
Am5-/7,D7,3
Gmaj7,G7/13,1
G7/13,G7,2
G7,Am7,2
G7,F#m7,1
F#m7,B7,2
B7,E,2
E,E7,4
E7,Em7,1
G7,Em,3
Am7,Am7/D,1
Am7/D,Am5-/7,1
Am,Am6,1
Am6,Bm7,1
Bm7,E7,2
Am6,Em5-/7,1
Em5-/7,A7/9-,2
A7/9-,Dm,2
Dm,Dm7+,2
Dm7+,Dm7,2
Dm7,Dm7/13,1
Dm7/13,E7,1
E7,A#7,2
A#7,E7,1
E7,Amaj7,2
Amaj7,Am,1
E7,A,2
A,Bm,1
Bm,E7,1
A,Em5-/7,1
A7/9-,Dm7,2
Dm7,A#,1
A#,E7,2
C,Cmaj7,18
Cmaj7,E7,3
E7,Dm,3
Dm,E7,4
A,Am,3
G7,G7/13-,6
G7/13-,C6,1
C6,Cmaj7,3
Cmaj7,Em7,1
Em7,Gm,1
Gm,A9,1
